9998,1,9998,9998
9997,1,9997,9997
9996,0,9996,9996
9996,1,0,9995
9995,2,9995,9993
9993,2,9993,9991
9991,0,9991,9987
9991,4,0,9986
9987,1,9987,9984
9986,0,9986,9983
9986,0,0,9982
9986,2,0,9981
9984,0,9984,9980
9984,1,0,9978
9983,1,9983,9976
9982,0,9982,9975
9982,1,0,9973
9981,1,9981,9972
9980,2,9980,9970
9978,2,9978,9968
9976,1,9976,9967
9975,2,9975,9966
9973,1,9973,9963
9972,2,9972,9962
9970,0,9970,9961
9970,2,0,9959
9968,0,9968,9957
9968,0,0,9955
9968,0,0,9952
9968,0,0,9951
9968,1,0,9949
9967,1,9967,9948
9966,0,9966,9947
9966,0,0,9946
9966,0,0,9944
9966,3,0,9943
9963,1,9963,9942
9962,0,9962,9941
9962,1,0,9938
9961,0,9961,9936
9961,2,0,9935
9959,2,9959,9932
9957,2,9957,9927
9955,3,9955,9926
9952,1,9952,9924
9951,2,9951,9921
9949,0,9949,9920
9949,1,0,9919
9948,0,9948,9917
9948,0,0,9916
9948,0,0,9915
9948,1,0,9912
9947,0,9947,9911
9947,1,0,9910
9946,2,9946,9909
9944,1,9944,9908
9943,0,9943,9907
9943,0,0,9905
9943,1,0,9904
9942,1,9942,9903
9941,0,9941,9901
9941,3,0,9900
9938,2,9938,9899
9936,1,9936,9898
9935,3,9935,9897
9932,5,9932,9896
9927,1,9927,9895
9926,2,9926,9893
9924,3,9924,9891
9921,0,9921,9890
9921,1,0,9887
9920,0,9920,9886
9920,1,0,9885
9919,2,9919,9883
9917,1,9917,9881
9916,1,9916,9878
9915,3,9915,9877
9912,1,9912,9875
9911,1,9911,9874
9910,0,9910,9870
9910,1,0,9869
9909,1,9909,9868
9908,1,9908,9867
9907,0,9907,9866
9907,2,0,9862
9905,1,9905,9859
9904,1,9904,9858
9903,2,9903,9856
9901,1,9901,9854
9900,0,9900,9853
9900,1,0,9852
9899,1,9899,9850
9898,1,9898,9849
9897,1,9897,9848
9896,1,9896,9846
9895,2,9895,9843
9893,2,9893,9842
9891,1,9891,9840
9890,3,9890,9838
9887,0,9887,9836
9887,1,0,9834
9886,1,9886,9832
9885,0,9885,9830
9885,2,0,9829
9883,2,9883,9828
9881,3,9881,9827
9878,0,9878,9826
9878,1,0,9825
9877,2,9877,9824
9875,1,9875,9823
9874,0,9874,9822
9874,4,0,9819
9870,1,9870,9818
9869,1,9869,9817
9868,1,9868,9815
9867,1,9867,9813
9866,4,9866,9812
9862,3,9862,9811
9859,0,9859,9810
9859,0,0,9809
9859,1,0,9808
9858,2,9858,9806
9856,0,9856,9805
9856,2,0,9797
9854,1,9854,9794
9853,0,9853,9792
9853,0,0,9789
9853,1,0,9788
9852,2,9852,9787
9850,0,9850,9786
9850,1,0,9785
9849,1,9849,9784
9848,2,9848,9783
9846,3,9846,9782
9843,0,9843,9781
9843,1,0,9779
9842,2,9842,9777
9840,0,9840,9774
9840,0,0,9773
9840,2,0,9772
9838,2,9838,9771
9836,0,9836,9769
9836,2,0,9767
9834,0,9834,9766
9834,0,0,9763
9834,2,0,9762
9832,2,9832,9761
9830,1,9830,9760
9829,0,9829,9758
9829,1,0,9755
9828,1,9828,9754
9827,1,9827,9753
9826,1,9826,9752
9825,0,9825,9751
9825,1,0,9750
9824,0,9824,9749
9824,0,0,9742
9824,1,0,9741
9823,1,9823,9739
9822,0,9822,9738
9822,3,0,9737
9819,1,9819,9735
9818,1,9818,9734
9817,2,9817,9730
9815,2,9815,9729
9813,0,9813,9726
9813,1,0,9725
9812,0,9812,9724
9812,1,0,9723
9811,0,9811,9722
9811,0,0,9721
9811,1,0,9720
9810,0,9810,9719
9810,0,0,9718
9810,1,0,9715
9809,1,9809,9712
9808,2,9808,9710
9806,0,9806,9709
9806,1,0,9708
9805,8,9805,9707
9797,0,9797,9706
9797,3,0,9705
9794,2,9794,9703
9792,3,9792,9702
9789,0,9789,9700
9789,0,0,9698
9789,1,0,9697
9788,1,9788,9695
9787,0,9787,9694
9787,1,0,9692
9786,0,9786,9689
9786,1,0,9688
9785,1,9785,9687
9784,1,9784,9685
9783,0,9783,9684
9783,1,0,9682
9782,1,9782,9681
9781,0,9781,9678
9781,0,0,9677
9781,2,0,9673
9779,0,9779,9672
9779,2,0,9670
9777,0,9777,9669
9777,0,0,9668
9777,3,0,9664
9774,1,9774,9662
9773,1,9773,9657
9772,0,9772,9655
9772,0,0,9653
9772,1,0,9651
9771,2,9771,9649
9769,2,9769,9648
9767,1,9767,9647
9766,3,9766,9645
9763,1,9763,9644
9762,1,9762,9643
9761,1,9761,9642
9760,2,9760,9641
9758,0,9758,9640
9758,0,0,9636
9758,0,0,9635
9758,3,0,9634
9755,0,9755,9633
9755,1,0,9632
9754,0,9754,9631
9754,0,0,9629
9754,0,0,9628
9754,1,0,9627
9753,1,9753,9624
9752,1,9752,9623
9751,1,9751,9621
9750,0,9750,9620
9750,1,0,9619
9749,7,9749,9618
9742,1,9742,9617
9741,0,9741,9616
9741,0,0,9615
9741,2,0,9614
9739,0,9739,9613
9739,1,0,9612
9738,1,9738,9611
9737,2,9737,9609
9735,0,9735,9608
9735,0,0,9607
9735,1,0,9606
9734,4,9734,9605
9730,0,9730,9604
9730,1,0,9603
9729,0,9729,9601
9729,3,0,9599
9726,1,9726,9597
9725,0,9725,9596
9725,1,0,9593
9724,1,9724,9592
9723,1,9723,9591
9722,0,9722,9589
9722,1,0,9588
9721,0,9721,9587
9721,1,0,9585
9720,0,9720,9584
9720,1,0,9582
9719,1,9719,9580
9718,3,9718,9576
9715,3,9715,9574
9712,0,9712,9572
9712,0,0,9571
9712,2,0,9568
9710,0,9710,9567
9710,1,0,9566
9709,0,9709,9563
